Province,total_policies,claims_count,freq,mean_margin,mean_severity
Gauteng,393865,1322,0.0033564800121869166,-13.558894276343386,22243.878395705604
Western Cape,170796,370,0.002166327080259491,-3.414688913227025,28095.849880512094
KwaZulu-Natal,169781,483,0.002844841295551328,-6.433597617491436,29609.487472667177
North West,143287,349,0.002435671065763119,10.958832158037309,16963.467034635298
Mpumalanga,52718,128,0.0024280132023217875,15.016058741956236,15979.55342105263
Eastern Cape,30336,50,0.0016482067510548524,25.833240030823408,27128.533277192982
Limpopo,24836,67,0.002697696891608955,20.97148449330721,15171.294186959934
Free State,8099,11,0.0013581923694283246,20.55080541565478,32265.661084529474
Northern Cape,6380,8,0.0012539184952978057,35.59052741409995,11186.313596491224
